Instance;Alpha_Depart;Mode;Runs;Taille_Clique;Temps_ms
gen/gen400_p0.9_65.clq;0.01;Fixe;1;36;447.458
gen/gen400_p0.9_65.clq;0.01;Adaptatif;1;34;1221
gen/gen400_p0.9_65.clq;0.01;Fixe;10;46;4447.79
gen/gen400_p0.9_65.clq;0.01;Adaptatif;10;44;12295.1
gen/gen400_p0.9_65.clq;0.05;Fixe;1;36;429.042
gen/gen400_p0.9_65.clq;0.05;Adaptatif;1;36;1069.68
gen/gen400_p0.9_65.clq;0.05;Fixe;10;46;4407.82
gen/gen400_p0.9_65.clq;0.05;Adaptatif;10;47;10826.6
gen/gen400_p0.9_65.clq;0.1;Fixe;1;36;445.362
gen/gen400_p0.9_65.clq;0.1;Adaptatif;1;40;1083.57
gen/gen400_p0.9_65.clq;0.1;Fixe;10;46;4471.62
gen/gen400_p0.9_65.clq;0.1;Adaptatif;10;47;10245.7
gen/gen400_p0.9_75.clq;0.01;Fixe;1;39;447.802
gen/gen400_p0.9_75.clq;0.01;Adaptatif;1;38;1092.27
gen/gen400_p0.9_75.clq;0.01;Fixe;10;45;4405.28
gen/gen400_p0.9_75.clq;0.01;Adaptatif;10;44;11256.3
gen/gen400_p0.9_75.clq;0.05;Fixe;1;39;450.15
gen/gen400_p0.9_75.clq;0.05;Adaptatif;1;39;1039.84
gen/gen400_p0.9_75.clq;0.05;Fixe;10;45;4463.99
gen/gen400_p0.9_75.clq;0.05;Adaptatif;10;45;10443.4
gen/gen400_p0.9_75.clq;0.1;Fixe;1;39;444.052
gen/gen400_p0.9_75.clq;0.1;Adaptatif;1;40;965.7
gen/gen400_p0.9_75.clq;0.1;Fixe;10;45;4272.42
gen/gen400_p0.9_75.clq;0.1;Adaptatif;10;46;9885.61
hamming/hamming6-2.clq;0.01;Fixe;1;32;12.1078
hamming/hamming6-2.clq;0.01;Adaptatif;1;32;29.2407
hamming/hamming6-2.clq;0.01;Fixe;10;32;120.756
hamming/hamming6-2.clq;0.01;Adaptatif;10;32;303.389
hamming/hamming6-2.clq;0.05;Fixe;1;32;12.1963
hamming/hamming6-2.clq;0.05;Adaptatif;1;32;25.9786
hamming/hamming6-2.clq;0.05;Fixe;10;32;121.156
hamming/hamming6-2.clq;0.05;Adaptatif;10;32;263.283
hamming/hamming6-2.clq;0.1;Fixe;1;32;12.208
hamming/hamming6-2.clq;0.1;Adaptatif;1;32;24.3452
hamming/hamming6-2.clq;0.1;Fixe;10;32;119.617
hamming/hamming6-2.clq;0.1;Adaptatif;10;32;240.021
hamming/hamming6-4.clq;0.01;Fixe;1;4;11.7484
hamming/hamming6-4.clq;0.01;Adaptatif;1;4;31.9556
hamming/hamming6-4.clq;0.01;Fixe;10;4;116.277
hamming/hamming6-4.clq;0.01;Adaptatif;10;4;292.046
hamming/hamming6-4.clq;0.05;Fixe;1;4;11.9735
hamming/hamming6-4.clq;0.05;Adaptatif;1;4;26.7931
hamming/hamming6-4.clq;0.05;Fixe;10;4;115.235
hamming/hamming6-4.clq;0.05;Adaptatif;10;4;259.985
hamming/hamming6-4.clq;0.1;Fixe;1;4;11.9936
hamming/hamming6-4.clq;0.1;Adaptatif;1;4;26.4327
hamming/hamming6-4.clq;0.1;Fixe;10;4;115.835
hamming/hamming6-4.clq;0.1;Adaptatif;10;4;247.407
hamming/hamming8-2.clq;0.01;Fixe;1;121;181.817
hamming/hamming8-2.clq;0.01;Adaptatif;1;121;477.858
hamming/hamming8-2.clq;0.01;Fixe;10;121;1829.2
hamming/hamming8-2.clq;0.01;Adaptatif;10;128;4827.81
hamming/hamming8-2.clq;0.05;Fixe;1;121;182.99
hamming/hamming8-2.clq;0.05;Adaptatif;1;121;399.61
hamming/hamming8-2.clq;0.05;Fixe;10;121;1830.42
